-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,1,1
-1,-1,-1,1,-1,1
-1,-1,-1,1,1,-1
-1,-1,1,-1,-1,1
-1,-1,1,-1,1,-1
-1,-1,1,1,-1,-1
-1,-1,1,1,1,1
-1,1,-1,-1,-1,1
-1,1,-1,-1,1,-1
-1,1,-1,1,-1,-1
-1,1,-1,1,1,1
-1,1,1,-1,-1,-1
-1,1,1,-1,1,1
-1,1,1,1,-1,1
-1,1,1,1,1,-1
1,-1,-1,-1,-1,1
1,-1,-1,-1,1,-1
1,-1,-1,1,-1,-1
1,-1,-1,1,1,1
1,-1,1,-1,-1,-1
1,-1,1,-1,1,1
1,-1,1,1,-1,1
1,-1,1,1,1,-1
1,1,-1,-1,-1,-1
1,1,-1,-1,1,1
1,1,-1,1,-1,1
1,1,-1,1,1,-1
1,1,1,-1,-1,1
1,1,1,-1,1,-1
1,1,1,1,-1,-1
1,1,1,1,1,1
-2.37841423000544,-0,-0,-0,-0,-0
2.37841423000544,0,0,0,0,0
-0,-2.37841423000544,-0,-0,-0,-0
0,2.37841423000544,0,0,0,0
-0,-0,-2.37841423000544,-0,-0,-0
0,0,2.37841423000544,0,0,0
-0,-0,-0,-2.37841423000544,-0,-0
0,0,0,2.37841423000544,0,0
-0,-0,-0,-0,-2.37841423000544,-0
0,0,0,0,2.37841423000544,0
-0,-0,-0,-0,-0,-2.37841423000544
0,0,0,0,0,2.37841423000544
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
